de aankomst, Ankunft
opstaan, aufstehen
de vorm, Form
zich schamen, sich schämen
want, denn
opbellen, anrufen
weten, wissen
wassen, waschen/putzen
het poesje, Kätzchen
grondig, gründlich
aankleden, anziehen
het gebruik, Verwendung
de gebeurtenis, Ereignis
de toekomst, Zukunft
morgen, morgen
overmorgen, übermorgen
volgend, nächste(-r/-s)
samen, zusammen
het plan, Plan
tien uur, zehn Uhr
vijf over tien, fünf nach zehn
kwart over tien, Viertel nach zehn
half elf, halb elf
vijf over half elf, fünf nach halb elf
kwart voor elf, Viertel vor elf
twee voor elf, zwei (Minuten) vor elf
tien voor half twaalf, zehn (Minuten) vor halb zwölf
de film, Film
de winkel, Geschäft
tot, bis
´s ochtends, morgens / am Morgen
´s morgens, morgens / am Morgen
´s avonds, abends / am Abend
´s nachts, nachts / in der Nacht
vertrekken, abreisen
zetten, setzen / stellen / legen
letten, achten
de volgende, Reihenfolge
de maand, Monat
de januari, Januar
de februari, Februar
de maart, März
de april, April
de mei, Mai
de juni, Juni
de juli, Juli
de augustus, August
de september, September
de oktober, Oktober
de november, November
de december, Dezember
de maandag, Montag
de dinsdag, Dienstag
de woensdag, Mittwoch
de donderdag, Donnerstag
de vrijdag, Freitag
de zaterdag, Samstag
de zondag, Sonntag
in 1975, 1975 / im Jahr 1975
door de week, unter der Woche
het weekend, Wochenende
uitslapen, ausschlafen
geboren, geboren
eten, essen
men, man
de kolom, Spalte
de soep, Suppe
de frisdrank, Erfrischungsgetränk
de tosti ham / kaas, Käse-Schinken-Toast
de koffie verkeerd, Milchkaffee
het bier / biertje, Bier
de uitsmijter, strammer Max
de muntthee, Pfefferminztee
de portie, Portion
de bitterbal, frittierte Bällchen mit Fleischragout
het sinaasappelsap, Orangensaft
de salade / de maaltijdsalade, Salat / Salat als Hauptgericht
de daghap, Tagesgericht
de spa, Mineralwasser
het broodje, Brötchen
de chocomel, Schokoladenmilch
de slagroom, Schlagsahne
de borrel / het borreltje, Schnaps
de pannenkoek, Pfannenkuchen / Eierkuchen
het eten, Essen
de drank, Getränk
warm, warm
koud, kalt
het stuk / het stukje, Stück / Stückchen
de euro, Euro
denken, denken
sturen, schicken
afrekenen, abrechnen / zahlenhet broodje gezond, belegtes Brötchen mit gesundem Belag
de tomatensoep, Tomatensuppe
maar, mal
nou, nun
graag, bitte
later, später
de keer, Mal
trakteren, für andere mit bezahlen / einen ausgeben
de ober, Kellner
de serveerster, Kellnerin
de gast, Gast
oefenen, üben
de geboortedatum, Geburtsdatum
het apenstaartje, @-Zeichen
zingen, singen
de familie, Familie / Verwandschaft
de omschrijving, Umschreibung
in verwachting zijn, schwanger sein
scheiden, sich scheiden lassen
touwen, heiraten
verliefd, verliebt
vertellen, erzählen
onderstrepen, unterstreichen
de betekenis, Bedeutung
de context, Kontext
afleiden, ableiten
Met Iris Janssen, Iris Janssen ( am Telefon)
het zusje, Schwesterherz
bellen, anrufen
namelijk, nämlich
de heleboel, viel / große Menge
gebeuren, passieren
zoveel, so viel
waarmee, womit
eerst, erst
het nieuws, Nachricht
de oom, Onkel
de tante, Tante
Dat meen je niet!, Das ist nicht dein Ernst!
eigenlijk, eigentlich
getrouwd, verheiratet
ander, andere(-r / -s)
grijs, grau
het haar, Haar
de sproeten(Pl.), Sommersprossen
de baard, Bart
mager, dünn
bedoelen, meinen
ermee, damit
maar, nur
iets anders, etwas anderes
het nieuwtje, Neuigkeit
de bruiloft, Hochzeit
knap, hübsch / schön
lief, lieb
Echt waar?, Wirklich?
eruit zien, aussehen
lang, groß
slank, schlank
gespierd, muskulös
dragen, tragen
de bril, Brille
blond, blond
de krul, Locke
blauw, blau
het oog, Auge
Denemarken, Dänemark
nog steeds, immer noch
benieuwd / benieuwd naar, neugierig / neugierig auf
het keertje, Mal
gauw, bald
bijgepraat zijn, auf dem laufenden sein
Tot gauw, Bis bald
zoeken, suchen
het tengengestelde, Gegenteil
elk(-e), jede(-r/-s)
klein, klein
dik, dick
lelijk, hässlich
de woordgroep, Wortgruppe
het uiterlijk, Äußere
de persoon, Person
beschrijven, bescheiben
soms, manchmal
meerdere, mehrere
volgens, laut
het begin / begin volgend jaar, Anfang / Anfang nächsten Jahres
het meisje, Mädchen
het water, Wasser
veel, viel
weinig, wenig
groot, groß
vies, schmutzig
dan, als
het drankje, Getränk
aleen, nur
zwaar, schwer
braaf, brav
mooi, schön
op straat, auf der Straße
de broer, Bruder
het voorbeeld, Beispiel
best, beste(-r/-s)
de moeder, Mutterde nicht, Nichte / Cousine
de schoonvader, Schwiegervater
de kleindochter, Enkelin
de zus, Schwester
de vader, Vater
de schoonmoeder, Schwiegermutter
de dochter, Tochter
de schoonzoon, Schwiegersohn
de opa, Opa
de zoon, Sohn
de kleinzoon, Enkel
de oma, Oma
de zwager, Schwager
het echtpaar, Ehepaar
de grootouders, Großeltern
het kleinkind, Enkelkind
de schoonouders, Schwiegereltern
de neef, Neffe / Cousin
de schoonzus, Schwägerin
de schoondochter, Schwiegertochter
het gezin, Kernfamilie
de stamboom, Stammbaum
stellen, stellen
bespreken, besprechen
de broers en zussen, Geschwister
belangrijk, wichtig
helemaal niet, überhaupt niecht
best wel, einigermaßen
heel erg, sehr
niet erg, nicht besonders
de kleur, Farbe
rood, rot
geel, gelb
groen, grün
zwart, schwarz
oranje, orange
wit, weiß
bruin, braun
de ketting, Kette
de hond, Hund
de tulp, Tulpe
de tekening, Abbildung / Zeichnung
het complimentje / complimentjes geven, Kompliment / Komplimente machen
vanavond, heute Abend
de monarchie, Monarchie
van deze tijd, zeitgemäß
de tussenstop, Zwischenhalt
de schaar, Schere
de laptop, Laptop
de lamp, Lampe
het schrijfblok, Block
het potlood, Bleistift
het plakband, Klebeband
de agenda, Terminkalender
de perforator, Locher
het bureau, Schreibtisch
de werkdag, Arbeitstag
de advertentie, Anzeige
de dinsdagochtend, Dienstagmorgen
de rondvaart, Rundfahrt
het museum, Museum
bezoeken, besuchen
de stadswandeling, Stadtspaziergang
lunchen, zu Mittag essen
de openingstijden, Öffnungszeiten
dagelijks, täglich
de toegangsprijs, Eintrittspreis
de volwassene, Erwachsener
gratis, kostenlos
museumkaart, Rabattkarte für Museen
gevestigd zijn, niedergelassen sein
het zevental, sieben
verbonden, verbunden
historisch, historisch
het pand, Gebäude
het centrum, Zentrum
de zaal, Saal
overdag, tagsüber
te huur, zu vermieten
de vergadering, Versammlung
het congres, Kongress
audiovisueel, audiovisuell
de presentatie, Präsentation
de vertoning, Vorführung
de videoproductie, Videoproduktion
terechtkunnen, Zutritt haben
de lunch, Mittagessen
uitgebreid, ausgedehnt
dineren, speisen
de vertrektijd, Abfahrtszeit
de aankomsttijd, Ankunftszeit
heel, ganz
door, durch
boeken, buchen
worden, werden
enig, einzig / einzigartig
de uitzondering, Ausnahme
vormen, bilden
het ijs, Eis
extreem, extrem
de weersomstandigheden(Plural), Witterungsverhältnisse
de tocht, Fahrt
onmogelijk, unmöglich
hieronder, hierunter
exact, genau
op afspraak, nach Absprache
de minuut, Minute
het vertrek, Abfahrt
inschepen, einschiffen
de wijziging, Änderung
voorbehouden, vorbehalten
de groep, Gruppe
reserveren, reservieren
het restaurant, Restaurant
tafelen, tafeln
culinair, kulinarisch 
